Mumme Hal Clay, SMU (OC), oc, [2013, 2013]
Mumme Hal Clay, Belhaven, hc, [2014, -1]
Muschamp Will, Auburn (GA), ga, [1995, 1996]
Muschamp Will, West Georgia (DB), db, [1998, 1998]
Muschamp Will, Eastern Kentucky (DB), db, [1999, 1999]
Muschamp Will, Valdosta State (DC), dc, [2000, 2000]
Muschamp Will, LSU (DC/LB), dc, [2001, 2004]
Muschamp Will, Miami Dolphins (AHC/DC), hc, [2005, 2005]
Muschamp Will, Auburn (DC), dc, [2006, 2007]
Muschamp Will, Texas (DC/LB), dc, [2008, 2010]
Muschamp Will, Florida, hc, [2011, -1]
Mussman Chris, Minnesota StateMankato (OL/OC), ol, [1993, 1998]
Mussman Chris, North Dakota (OC/OL), oc, [1999, 2007]
Mussman Chris, North Dakota, hc, [2008, 2013]
Mynatt Jerry, Pikeville, hc, [2003, 2005]
Naber Brian, Doane, hc, [1981, 1983]
Naber Brian, Cameron, hc, [1984, 1989]
Nehlen Don, Cincinnati (assistant), ga, [1963, 1963]
Nehlen Don, Bowling Green (assistant), ga, [1967, 1967]
Nehlen Don, Bowling Green, hc, [1968, 1976]
Nehlen Don, Michigan (QB), qb, [1977, 1979]
Nehlen Don, West Virginia, hc, [1980, 2000]
Nelson Corky, Harlandale HS (TX), hc, [1967, 1969]
Nelson Corky, North Texas State (DL/LB), dl, [1970, 1970]
Nelson Corky, John Tyler HS (TX), hc, [1971, 1973]
Nelson Corky, Baylor (DC), dc, [1974, 1981]
Nelson Corky, North Texas State/North Texas, hc, [1982, 1990]
Nelson Corky, Seguin HS (TX), hc, [1991, 1996]
Nelson Corky, Klein Forest HS (TX) (assistant), ga, [1997, 1998]
Nelson Corky, Mary HardinBaylor (assistant), ga, [1999, 2003]
Nelson Niles, Husson (DC), dc, [2004, 2008]
Nelson Niles, Husson, hc, [2009, -1]
Nesbitt Mike, Howard Payne (OC), oc, [2001, 2004]
Nesbitt Mike, Blinn College (OC), oc, [2005, 2006]
Nesbitt Mike, West Texas A&M (WR/QB), wr, [2007, 2009]
Nesbitt Mike, West Texas A&M (OC), oc, [2010, 2010]
Nesbitt Mike, Stephen F. Austin (OC), oc, [2011, 2011]
Nesbitt Mike, Houston (OC), oc, [2012, 2012]
Nesbitt Mike, West Texas A&M (Interim HC), hc, [2013, -1]
Neuheisel Rick, UCLA (GA), ga, [1986, 1986]
Neuheisel Rick, UCLA (QB), qb, [1988, 1989]
Neuheisel Rick, UCLA (WR), wr, [1990, 1993]
Neuheisel Rick, Colorado (OC), oc, [1994, 1994]
Neuheisel Rick, Colorado, hc, [1995, 1998]
Neuheisel Rick, Washington, hc, [1999, 2002]
Neuheisel Rick, Rainier Beach HS (WA) (vol), hc, [2003, 2004]
Neuheisel Rick, Baltimore Ravens (QB), qb, [2005, 2006]
Neuheisel Rick, Baltimore Ravens (OC), oc, [2007, 2007]
Neuheisel Rick, UCLA, hc, [2008, 2011]
Nichols Harold, Presbyterian Asst., hc, [1990, 1991]
Nichols Harold, Georgia Southern, Asst., hc, [1992, 1996]
Nichols Harold, Presbyterian Asst., hc, [1997, 1999]
Nichols Harold, Rhode Island Asst., hc, [2000, 2007]
Nichols Harold, Bucknell OC, hc, [2008, 2008]
Nichols Harold, Presbyterian, hc, [2009, -1]
Nichols Jim, Faulkner, hc, [2007, 2008]
Nickert Van, Kalamazoo (assistant), ga, [1983, 2003]
Nickert Van, Kalamazoo, hc, [2004, 2004]
Nickert Van, Kalamazoo (assistant), ga, [2005, -1]
Nielson Bob, Wartburg (OL), ol, [1981, 1986]
Nielson Bob, Wartburg (DC), dc, [1987, 1988]
Nielson Bob, Ripon, hc, [1989, 1990]
