Hickman Todd, Hibbing CC, hc, [1994, 1996]
Hickman Todd, MinnesotaMorris (assistant), ga, [1997, 2006]
Hickman Todd, MinnesotaMorris, hc, [2007, -1]
Higgins Garin, Northeastern State (GA), ga, [1992, 1993]
Higgins Garin, Northwestern Oklahoma State (RB/QB), rb, [1994, 1996]
Higgins Garin, Northwestern Oklahoma State (OC), oc, [1997, 1999]
Higgins Garin, Northwestern Oklahoma State, hc, [2000, 2004]
Higgins Garin, Minnesota StateMankato (co-OC), oc, [2005, 2005]
Higgins Garin, Northeastern State (OC), oc, [2006, 2006]
Higgins Garin, Emporia State, hc, [2007, -1]
Higgins Kevin, Emerson HS (NJ) (assistant), ga, [1977, 1978]
Higgins Kevin, North Warren HS (NJ) (assistant), ga, [1979, 1980]
Higgins Kevin, Gettysburg (assistant), ga, [1981, 1984]
Higgins Kevin, Richmond (assistant), ga, [1985, 1987]
Higgins Kevin, Lehigh (assistant), ga, [1988, 1993]
Higgins Kevin, Lehigh, hc, [1994, 2000]
Higgins Kevin, Detroit Lions (QB), qb, [2001, 2003]
Higgins Kevin, Detroit Lions (WR), wr, [2004, 2004]
Higgins Kevin, The Citadel, hc, [2005, 2013]
Higgins Kevin, Wake Forest (AHC/WR), hc, [2014, -1]
Higgins Patrick, St. Cloud State (WR), wr, [1989, 1989]
Higgins Patrick, Quincy (IL) (OC), oc, [1990, 1990]
Higgins Patrick, Quincy (IL) (DC), dc, [1991, 1991]
Higgins Patrick, William Penn, hc, [1992, 1992]
Higgins Patrick, St. Andrews Prep, hc, [1993, 1993]
Higgins Patrick, Shepherd (OC/ST), oc, [1994, 1996]
Higgins Patrick, Columbia (RB), rb, [1997, 1997]
Higgins Patrick, UTEP (WR), wr, [1998, 1999]
Higgins Patrick, UTEP (OC), oc, [2000, 2003]
Higgins Patrick, Louisiana Tech (TE/ST), hc, [2004, 2004]
Higgins Patrick, BYU (WR/ST), wr, [2005, 2010]
Higgins Patrick, Purdue (WR), wr, [2011, 2012]
Higgins Patrick, Purdue (interim HC), hc, [2012, 2012]
Higgins Patrick, UTEP (OC/QB), oc, [2013, -1]
Highsmith Scott, Kentucky (WR/RB), wr, [1999, 2000]
Highsmith Scott, Belhaven, hc, [2003, 2005]
