Last First Name,school,School/Info,position,start year,end year (-1 current position),,position,,,school,len school name
Baer Kent,yokosuka seahawks, Yokosuka Seahawks,hc,1973,1976,yokosuka seahawks,hc,TRUE,#VALUE!,yokosuka seahawks,17
Bagnoli Al,albany, Albany (DC),dc,1976,1977,albany (dc),dc,TRUE,8,albany,6
Bagnoli Al,albany, Albany (GA),ga,1975,1975,albany (ga),ga,TRUE,8,albany,6
Bagnoli Al,penn, Penn,hc,1992,-1,penn,hc,TRUE,#VALUE!,penn,4
Bagnoli Al,union, Union,hc,1982,1991,union,hc,TRUE,#VALUE!,union,5
Bagnoli Al,union, Union (DC),dc,1978,1981,union (dc),dc,TRUE,7,union,5
Bailey Carey,atlanta falcons, Atlanta Falcons (LB Intern),lb,2012,-1,atlanta falcons (lb intern),lb,TRUE,17,atlanta falcons,15
Bailey Carey,howard, Howard (HC),hc,2007,2010,howard (hc),hc,TRUE,8,howard,6
Bailey Carey,lamar, Lamar (AHC DL ST),ahc,2014,2014,lamar (ahc dl st),ahc,TRUE,7,lamar,5
Bailey Carey,lamar, Lamar (DL),dl,2012,2013,lamar (dl),dl,TRUE,7,lamar,5
Bailey Carey,louisianalafayette, LouisianaLafayette (DT),dl,1999,2002,louisianalafayette (dt),dl,TRUE,20,louisianalafayette,18
Bailey Carey,louisianalafayette, LouisianaLafayette (LB),lb,1998,1998,louisianalafayette (lb),lb,TRUE,20,louisianalafayette,18
Bailey Carey,middle tennessee, Middle Tennessee (DL),dl,2003,2003,middle tennessee (dl),dl,TRUE,18,middle tennessee,16
Bailey Carey,minnesota, Minnesota (DL),dl,2005,2006,minnesota (dl),dl,TRUE,11,minnesota,9
Bailey Carey,oklahoma state, Oklahoma State (DL),dl,2004,2004,oklahoma state (dl),dl,TRUE,16,oklahoma state,14
Bailey Carey,vmi, VMI (DE),dl,1995,1997,vmi (de),dl,TRUE,5,vmi,3
Bailey Carey,west virginia, West Virginia (GA),ga,1993,1994,west virginia (ga),ga,TRUE,15,west virginia,13
Bailey Charlie,brandon hs, Brandon HS (FL) (assistant),ga,1963,1963,brandon hs (fl) (assistant),ga,TRUE,12,brandon hs,10
Bailey Charlie,florida, Florida (DC/ILB),dc,1985,1985,florida (dc/ilb),dc,TRUE,9,florida,7
Bailey Charlie,kentucky, Kentucky (assistant),ga,1975,1981,kentucky (assistant),ga,TRUE,10,kentucky,8
Bailey Charlie,memphis state, Memphis State,hc,1986,1988,memphis state,hc,TRUE,#VALUE!,memphis state,13
Bailey Charlie,miami, Miami (FL) (assistant),ga,1971,1971,miami (fl) (assistant),ga,TRUE,7,miami,5
Bailey Charlie,orlando rage, Orlando Rage (DC/LB),dc,2001,-1,orlando rage (dc/lb),dc,TRUE,14,orlando rage,12
Bailey Charlie,orlando thunder, Orlando Thunder (DC/LB),dc,1992,1992,orlando thunder (dc/lb),dc,TRUE,17,orlando thunder,15
Bailey Charlie,pittsburgh, Pittsburgh (DC),dc,1982,1982,pittsburgh (dc),dc,TRUE,12,pittsburgh,10
Bailey Charlie,poca hs, Poca HS (WV) (assistant),ga,1962,1962,poca hs (wv) (assistant),ga,TRUE,9,poca hs,7
Bailey Charlie,rice, Rice (assistant),ga,1972,1974,rice (assistant),ga,TRUE,6,rice,4
Bailey Charlie,tampa, Tampa (assistant),ga,1964,1970,tampa (assistant),ga,TRUE,7,tampa,5
Bailey Charlie,tampa bay bandits, Tampa Bay Bandits (AHC/DC),ahc,1983,1984,tampa bay bandits (ahc/dc),ahc,TRUE,19,tampa bay bandits,17
Bailey Charlie,utep, UTEP,hc,1993,1999,utep,hc,TRUE,#VALUE!,utep,4
Bailey Charlie,utep, UTEP (DC),dc,1990,1991,utep (dc),dc,TRUE,6,utep,4
Bailey Charlie,utep, UTEP (DC),dc,1993,1993,utep (dc),dc,TRUE,6,utep,4
Bailey Willard,norfolk state, Norfolk State,hc,1984,1992,norfolk state,hc,TRUE,#VALUE!,norfolk state,13
Bailey Willard,virginia union, Virginia Union,hc,1971,1983,virginia union,hc,TRUE,#VALUE!,virginia union,14
Bailey Willard,virginia union, Virginia Union,hc,1995,2003,virginia union,hc,TRUE,#VALUE!,virginia union,14
Bailiff David,new braunfels hs, New Braunfels HS (DL),dl,1982,1984,new braunfels hs (dl),dl,TRUE,18,new braunfels hs,16
Bailiff David,new mexico, New Mexico (DL),dl,1992,1996,new mexico (dl),dl,TRUE,12,new mexico,10
Bailiff David,rice, Rice,hc,2007,-1,rice,hc,TRUE,#VALUE!,rice,4
Bailiff David,southwest texas state, Southwest Texas State (DC),dc,1997,2000,southwest texas state (dc),dc,TRUE,23,southwest texas state,21
Bailiff David,southwest texas state, Southwest Texas State (DL),dl,1989,1991,southwest texas state (dl),dl,TRUE,23,southwest texas state,21
Bailiff David,southwest texas state, Southwest Texas State (GA),ga,1988,1988,southwest texas state (ga),ga,TRUE,23,southwest texas state,21
Bailiff David,tcu, TCU (DC),dc,2001,2003,tcu (dc),dc,TRUE,5,tcu,3
Bailiff David,texas state, Texas State,hc,2004,2006,texas state,hc,TRUE,#VALUE!,texas state,11
Baker Art,clemson, Clemson (RB),rb,1965,1969,clemson (rb),rb,TRUE,9,clemson,7
Baker Art,east carolina, East Carolina,hc,1985,1988,east carolina,hc,TRUE,#VALUE!,east carolina,13
