Id,PageRank,CoachName
2294,5.27E-04,gibson bob
418,5.23E-04,bellard emory
3097,5.23E-04,ianello rob
4899,5.22E-04,pearce john
2944,5.21E-04,holmes earl
4446,5.21E-04,mooney todd
6433,5.21E-04,vaas peter
6719,5.21E-04,whipple mark
5981,5.21E-04,stanley jim
4352,5.17E-04,miller del
1488,5.16E-04,davis paul e
6849,5.14E-04,wilson kevin
3570,5.12E-04,krueger phil
5902,5.12E-04,snyder charlie
2911,5.11E-04,hoke brady
6077,5.08E-04,strader dr bob
3094,5.08E-04,hyde harvey
2824,5.08E-04,hickey bill
5616,5.08E-04,schroeder tad
5137,5.08E-04,quarless jan
5335,5.08E-04,rizzi darren
4826,5.08E-04,pancoast fred
3967,5.08E-04,marshall jim
4540,5.08E-04,mullins steve
2129,5.07E-04,franklin james
567,5.07E-04,boisture dan
3946,5.07E-04,mans george
4261,5.05E-04,mcneill ruffin
6522,5.04E-04,walker dewayne
5826,5.03E-04,smith bob
6695,5.02E-04,westering forrest frosty
4722,5.02E-04,ocain mike
3847,5.01E-04,lude mike
6135,5.00E-04,sunseri sal
5674,4.99E-04,shafer scott
5060,4.99E-04,porter larry
5904,4.99E-04,snyder mark
1148,4.98E-04,cohen dave
2722,4.98E-04,haymen conway
6344,4.98E-04,tormey chris
2251,4.98E-04,gass floyd
3655,4.97E-04,lavan alton al
864,4.96E-04,calhoun troy
212,4.95E-04,ayers mike
4598,4.93E-04,nadzak walt
4455,4.92E-04,moore jerry
4424,4.92E-04,mondt bill
5106,4.91E-04,prince ron
2162,4.91E-04,fritz willie
5263,4.91E-04,reno tony
5764,4.91E-04,siedlecki jack
1952,4.91E-04,fassel jim
4289,4.91E-04,meierkort ed
1496,4.91E-04,davis william r bill
6066,4.89E-04,stoops mark
4707,4.89E-04,nunnely wayne
3529,4.88E-04,koenning vic
4843,4.85E-04,parker jimmy red
6063,4.84E-04,stone morris
998,4.83E-04,cavan mike
2440,4.81E-04,green jack
2062,4.79E-04,flynn dick
1727,4.79E-04,duffner mark
7040,4.79E-04,zubrow ed
5047,4.79E-04,polian brian
3730,4.79E-04,levine tony
2629,4.79E-04,harper jc
5494,4.79E-04,rutledge larry
6001,4.77E-04,steele kevin
5917,4.77E-04,sotir alex
4332,4.76E-04,michelosen john p
4276,4.75E-04,mcworter mac
4469,4.74E-04,moorhead joe
4823,4.74E-04,palmer chris
866,4.74E-04,callahan kevin
5230,4.74E-04,rees william m rocky
554,4.73E-04,bobo john
6568,4.73E-04,wampfler jerry
3451,4.71E-04,kines joe
3092,4.70E-04,hyde bill
5138,4.70E-04,quartaro nick
1553,4.70E-04,dennehy mick
1086,4.70E-04,clark don r
5134,4.70E-04,purzycki joseph joe
5913,4.70E-04,solomonson earle
3776,4.70E-04,little larry
5647,4.70E-04,seagraves al
1052,4.68E-04,christiansen jack
564,4.64E-04,bohl craig
261,4.64E-04,ball randy
209,4.64E-04,awrey randy
526,4.64E-04,blake john
3362,4.64E-04,kelley alva e
3272,4.64E-04,jones latraia
6776,4.64E-04,wilkinson charles b bud
3264,4.64E-04,jones gomer
6901,4.62E-04,wood alex
4715,4.62E-04,obrien bill
2130,4.62E-04,franks carl
538,4.62E-04,bleil bill
4894,4.60E-04,peace joe
4367,4.59E-04,miller mason
5785,4.59E-04,simrell dan
6080,4.59E-04,strahm dale
2102,4.59E-04,forte maurice mo
1987,4.59E-04,ferry louis a
2306,4.59E-04,gilbert steve
885,4.59E-04,campbell matt
2665,4.57E-04,hart david r
689,4.55E-04,broadway rod
1193,4.52E-04,collums ken
6002,4.52E-04,steele ron
3565,4.51E-04,krivak joe
3352,4.49E-04,keith floyd
34,4.49E-04,agase alex
2408,4.49E-04,graham otto
4651,4.47E-04,nichols harold
6777,4.46E-04,wilks steve
2717,4.45E-04,hayes william bill
1497,4.45E-04,davitch jerry
4471,4.44E-04,mora jim l
3960,4.41E-04,marmie larry
5183,4.41E-04,randle sonny
4543,4.40E-04,mumford john
5254,4.40E-04,rein bo
3083,4.40E-04,hurt pete
172,4.39E-04,arnett steve
